outcome,KRT80,SCGN,CDH3,CEMIP,BEST4,ESM1,GLP2R,OTOP2,SCARA5,ETV4,BMP3,INHBA,WNT2,TMIGD1,VSTM2A,ASPA,PCSK2,CPNE7,IL6R,LEC3B,TMEM220,GLTP,LGI1,ENPP6,SLC51B,SLC25A34,PYY,CA7,RXRG,METTL7A,SGCG,ETFDH,HPSE2,PRKG2,SLC4A4,GFRA2,CDKN2B-AS1,FAM135B,FOXQ1,TSPAN7,ABCA8,LINC00974,LINC00682,RERGL,C2orf88,LPAR1,GCG,CLDN1,GRIN2D,RDH5,OTOP3,SLC30A10,SLC25A23,TMEM100,TMEM253,GUCA2A,PLP1,SPIB,CADM3,PLPP1,KRT24
1,11.93182897,3.059054801,12.61603729,12.59946157,6.174449371,7.169736513,5.094664239,3.059054801,7.604472316,13.05054061,5.094664239,8.885864226,8.736908547,4.098249923,5.094664239,4.420462623,3.059054801,13.01274759,8.07978394,6.784249902,6.256427811,10.22210936,1.265924001,3.059054801,7.695378027,5.550642574,6.256427811,4.098249923,4.420462623,9.267929346,1.265924001,8.229241631,4.682409526,3.677474973,5.789926023,4.420462623,3.677474973,3.059054801,11.47364648,9.133517922,4.682409526,1.265924001,1.265924001,1.265924001,6.669298387,7.986868961,3.059054801,11.91143473,11.60449288,6.174449371,1.265924001,4.420462623,11.76873009,1.265924001,5.263310464,7.507449033,5.094664239,3.677474973,3.059054801,9.569704088,1.265924001
1,10.20479806,3.589668826,11.41381039,11.09480775,4.833273971,8.301505416,5.164854121,2.908607891,6.515436075,12.56716685,4.90977558,9.577137974,8.143294594,4.426435779,2.730470814,3.540661555,3.489770937,9.841816905,8.592648945,6.061518728,7.031472328,9.816751904,2.823006527,2.730470814,7.233515443,5.816692913,5.816692913,4.710202389,2.730470814,8.840863463,1.839757012,9.489330875,4.259771896,3.682592245,7.667553149,3.589668826,4.964570204,1.839757012,10.73314271,7.922659002,5.806773508,2.392340265,1.839757012,2.823006527,6.40154738,7.465228743,4.644418106,11.52913918,9.922545881,4.575428599,1.265924001,2.247362187,10.88437908,4.477869155,4.199496138,7.642717855,4.259771896,4.999963751,4.833273971,9.03571818,1.265924001
1,9.28158882,5.049195158,11.60369433,12.06146732,4.793744902,6.954222166,4.59375505,3.91694476,4.884082208,10.68446844,5.815522895,8.610978977,8.123403193,6.86889193,1.265924001,5.671522681,1.265924001,10.64813052,8.718510189,4.96902754,5.453875208,10.57090097,1.265924001,4.227935287,6.141110164,7.16576298,6.604279951,5.125099045,1.265924001,11.17891643,1.265924001,8.979828392,3.25439241,5.331267395,10.37794188,3.91694476,6.21217114,1.265924001,7.527687979,7.957705139,4.59375505,3.25439241,1.265924001,2.471626558,8.02825333,9.361827776,7.595644447,9.875197601,10.91869212,5.049195158,3.25439241,2.471626558,11.05888214,4.227935287,5.265790199,9.506517545,4.081150329,6.681396312,4.081150329,9.719451791,1.265924001
1,8.796657122,3.331910549,10.6150353,13.13568946,6.201120166,7.666342614,4.975576565,4.20936955,7.442663701,12.25398863,3.140999176,9.165437158,8.111966872,4.53791103,1.265924001,2.635144614,1.265924001,9.043128582,9.071566121,6.545760774,5.778150519,9.397802102,1.265924001,4.20936955,8.845049258,4.383225292,6.201120166,5.470905768,4.113587059,10.78590024,1.265924001,9.256326814,4.609326511,4.863658526,7.321580242,4.383225292,5.26668828,4.113587059,10.07296063,9.120777737,4.462690308,1.265924001,2.251575543,2.251575543,6.74734105,7.58098735,6.10645638,11.69280205,9.843023856,6.332378445,1.265924001,3.498090856,10.39266347,4.677309918,6.005124772,8.977852301,3.498090856,4.53791103,2.915227174,9.250810924,1.265924001
1,9.517436913,1.892909808,12.06777269,12.12953874,6.261375525,5.84065601,3.864254737,1.265924001,3.211084637,12.55433234,2.145905262,10.52991757,8.880400733,2.492508971,1.892909808,3.356589781,1.265924001,10.59333506,8.358560611,5.952546285,7.104852001,10.21689939,1.265924001,3.046530357,7.983089858,4.337060953,2.955137052,4.233068976,3.211084637,10.9337224,1.892909808,9.92052806,3.715438799,4.081134211,3.910454631,2.955137052,2.856126331,1.892909808,10.35086963,8.441321339,3.285908557,1.892909808,1.265924001,1.265924001,6.798825059,5.114086692,1.265924001,12.23299673,9.836384012,5.409659281,1.265924001,3.910454631,11.09517498,2.955137052,5.680822481,5.530131915,2.145905262,2.955137052,1.892909808,8.764260505,1.265924001
1,9.285900557,4.478576139,12.05447189,11.20646594,8.553814129,6.546370915,5.327433241,6.079665582,7.274139435,9.808683677,6.302632399,9.259564355,7.228304021,6.331842628,1.265924001,3.633300893,1.265924001,7.62010561,9.444609648,5.54303682,5.3844494,10.42278035,1.265924001,4.36879027,7.403503218,6.665851724,7.62010561,8.354928378,2.855311092,9.74773136,1.265924001,9.684089797,3.975765826,4.675425964,10.20348596,4.249685298,6.242371891,3.815285526,10.45463749,7.361658256,5.54303682,3.171001052,1.265924001,3.975765826,8.390039007,9.051634316,8.318941811,10.83188168,10.48580634,6.546370915,1.265924001,4.927352989,11.02069495,4.119471414,5.492098125,9.213266962,4.580424517,7.148517286,5.141347631,9.337173082,1.265924001
1,9.937620419,3.874211545,11.47492192,12.6732011,5.499251546,7.413956987,3.572743832,1.882247986,4.264043055,11.3311211,2.472494119,7.158913987,4.393808778,3.455000662,2.131155527,2.472494119,3.874211545,10.17132152,6.346633449,4.622156733,7.440110894,9.553018368,1.882247986,1.882247986,6.438514709,3.961474733,2.318090943,5.070454215,2.605884745,9.449243724,1.265924001,9.074337463,3.255704061,5.108406515,6.961503024,2.831096436,4.512597516,2.831096436,10.84916164,10.26259097,3.325614789,1.882247986,1.882247986,2.131155527,9.216198331,7.519350677,3.68089824,11.89549427,9.612536332,6.187987288,1.265924001,3.731873458,8.953757333,2.724227235,4.512597516,7.946888484,1.265924001,3.325614789,1.882247986,8.812194974,1.265924001
1,10.19782036,3.2192852,12.4710972,13.36055855,5.83884047,7.602806758,6.637441672,1.265924001,7.186817775,11.15083718,3.998014776,8.599382812,8.18232163,3.874249177,4.405422661,1.265924001,1.265924001,6.459733807,7.847159291,4.789791243,7.909992132,10.08832998,1.265924001,4.57189909,4.57189909,3.738148451,5.429946189,4.405422661,2.695854276,10.16921175,1.265924001,9.406596396,4.72081492,5.429946189,10.37667959,5.246678289,5.145422425,3.41596643,10.44721803,9.198988582,5.036443081,1.265924001,1.265924001,1.265924001,8.575355815,7.602806758,4.855573857,11.06888897,11.84163032,5.738358665,1.265924001,3.2192852,10.84803724,3.586786868,3.738148451,7.442011972,2.296860771,4.314164582,3.41596643,9.409317226,1.265924001
1,10.46974606,3.466255044,12.11688277,11.51847612,4.448577497,8.721164867,5.178859128,1.265924001,7.212915524,11.15552487,1.265924001,6.983541131,6.306703022,2.61351226,3.657718735,2.805127739,2.062395915,9.881101847,7.538779937,6.876805054,5.5245163,10.44661788,1.265924001,3.466255044,5.375255732,3.901810475,2.968973064,5.5245163,2.805127739,10.52378626,1.265924001,9.034139723,4.171548461,3.358958253,5.2086203,4.915406771,2.805127739,2.805127739,10.52009817,8.846618019,4.721993297,1.265924001,2.062395915,3.901810475,9.062815603,6.052378632,1.265924001,10.82218741,10.59703569,7.114575742,1.265924001,1.265924001,11.13445201,4.545712454,5.401236664,4.636594512,3.358958253,5.476468436,2.968973064,9.33381458,2.062395915
1,7.928126713,7.639499619,9.730938328,13.35291282,5.50996495,6.497184131,3.938792998,2.592482529,4.345850043,11.70915918,2.865294998,8.9525298,7.872154558,2.219864991,2.219864991,3.182523203,1.265924001,4.751993886,7.731198176,5.09075545,7.189451492,10.28698314,1.265924001,2.219864991,4.66086445,5.043596436,1.265924001,2.424291445,2.592482529,11.07446903,1.265924001,9.412198505,4.222933507,5.940411296,12.52155714,4.179435046,3.182523203,3.272404468,9.966911443,8.604075588,4.179435046,2.424291445,1.265924001,2.424291445,7.247551571,8.492763854,4.944328771,11.31663733,7.298412282,7.404366015,1.946489825,3.771199496,10.50398715,3.579906435,4.088133619,9.750244445,1.265924001,10.89323103,2.219864991,9.367652546,1.265924001
