outcome,GUCA2B,GLP2R,SCGN,SLC4A4,CHGA,CA2,GCNT2,PLP1,PYY,CA1,PKIB,ABCA8,RSPO2,BMP3,SLC25A34,CADM3,CLEC3B,MAMDC2,TMEM100,GFRA2,CA7,VSTM2A,HPSE2,GREM2,TMIGD1,OTOP2,GUCA2A,ELANE,LINC00974,UGT1A8,SPIB,NFE2L3,CDH3,TRIB3,CEMIP,WNT2,MTHFD1L,SLC6A6,KLHL35,CLDN1,TMEM41A,KRT80,ENC1,FUT1,CPNE7,LOC101929705,PVT1
1,3.48381117,4.28956232,3.48381117,9.66334864,2.728288919,13.15023525,5.241897918,3.167632674,4.682944021,1.575079433,7.289567804,3.946721927,4.894741297,3.946721927,3.735730237,3.735730237,6.21116791,2.728288919,3.167632674,3.946721927,6.324071923,1.575079433,3.167632674,6.910520665,3.48381117,1.575079433,4.792816865,1.575079433,1.575079433,5.162732268,5.162732268,12.41517276,11.8601116,11.87560822,10.99957461,8.144339213,10.87094972,10.63820177,10.07663589,11.16761801,10.32260249,8.91191554,12.4162328,7.463775333,7.732479234,7.361795717,8.92984113
1,3.028479224,4.841397371,3.558573215,4.598554786,6.26854158,8.700087055,3.558573215,1.575079433,1.575079433,2.437250044,4.304491504,1.575079433,2.777492843,2.437250044,4.45928364,1.575079433,4.530655981,1.575079433,3.558573215,3.028479224,3.929976558,1.575079433,3.694477129,5.186161363,1.575079433,1.575079433,8.522247485,1.575079433,1.575079433,3.028479224,6.478437729,12.52434447,12.42057343,11.44840805,11.79129857,7.079370238,10.87848438,11.61446531,6.40560482,11.95319819,10.506868,9.473242854,12.49011866,7.306225715,10.74663388,4.530655981,8.915181804
1,1.575079433,4.378980392,5.074618578,7.17632291,8.222497442,8.555890313,5.128506507,4.548422515,5.074618578,6.881369893,6.971976759,4.960288591,4.078028628,4.078028628,4.960288591,5.074618578,6.626269216,5.724846911,4.466279792,3.347424475,3.832478378,3.1317161,4.378980392,7.861030648,4.078028628,1.575079433,6.38366144,3.1317161,1.575079433,3.530456192,3.1317161,11.43996443,11.43333949,11.07827712,12.97097404,6.607542253,10.71514255,11.66134833,10.17728841,12.36721221,10.43776438,10.8927335,12.63598883,6.588568537,10.01461456,4.378980392,8.957877795
1,4.140259391,3.957543362,3.175671277,8.795549767,5.821300479,11.77106426,4.805708203,3.957543362,2.734370783,9.594632769,7.678240654,3.745886092,4.140259391,3.175671277,6.572457831,3.745886092,6.572457831,1.575079433,4.301332449,4.301332449,7.706559224,1.575079433,3.957543362,4.907824449,3.175671277,3.493087125,9.759108339,1.575079433,1.575079433,5.003062156,7.085264609,11.53194892,11.84933426,11.53983826,10.34527836,9.170632715,10.60420655,10.62845628,8.107864553,10.82849746,10.26187964,8.446871822,12.10800609,8.927701088,10.52891139,6.509505767,8.734984457
1,1.575079433,2.714800827,1.575079433,7.918205192,1.575079433,5.457548097,3.149787848,4.185849301,2.568246745,1.575079433,8.692580635,2.155943354,1.575079433,1.575079433,3.768737361,2.39118019,4.960276497,2.155943354,2.714800827,1.575079433,4.060642498,2.39118019,3.316671661,2.568246745,2.954393356,1.575079433,3.316671661,1.575079433,1.575079433,2.155943354,2.568246745,11.77593572,11.62601592,11.38216747,11.00337719,4.300543729,10.8338028,10.65218024,6.737753735,11.96640997,9.264338578,8.530122093,12.599954,8.307432201,11.56554933,5.639267103,10.08794705
1,2.235569431,6.705610077,6.193744945,11.0038491,2.501341081,8.118487144,5.25307146,6.44623427,2.864299419,2.501341081,9.897014141,3.896779492,3.611529124,2.864299419,4.464632085,2.864299419,5.823767333,4.184306816,4.184306816,4.697792047,5.576360833,4.546749592,5.15287577,6.230897823,2.235569431,2.235569431,5.823767333,2.501341081,1.575079433,4.421682219,3.611529124,12.16377657,10.03623443,10.20728898,10.01601166,7.980083165,10.31052396,12.10338662,10.55010336,11.34604965,9.912317861,8.63672578,12.69787588,8.399398924,10.46704248,7.095956372,8.645910458
1,3.371774687,6.402685229,5.409423653,8.496623064,6.734748704,9.809918676,6.357154531,5.496277791,5.348441607,3.371774687,7.694675408,7.188848489,5.379258136,4.685916621,5.316945033,5.865620308,6.461235219,5.949923633,5.949923633,4.73476828,5.551381705,2.655335301,5.438965352,8.524317819,3.991042529,2.347641707,8.030284603,2.347641707,1.575079433,5.908390701,5.148093406,12.82189675,12.13348109,11.29663546,11.08688421,8.486098895,10.80301552,12.56098111,6.722837239,9.401328774,10.31200907,8.964202407,13.1638122,6.325980118,7.352336195,5.655606686,8.38775772
1,4.03206112,4.654727947,5.224937172,9.654548029,5.3116818,9.590244623,6.960403723,1.575079433,3.170705532,5.08402825,8.946028323,5.834497465,2.204380557,2.204380557,5.17950056,2.648771894,5.007963111,3.170705532,3.601601205,5.132565494,5.432646512,1.575079433,3.526596716,3.526596716,2.458262339,2.204380557,5.451847575,1.575079433,2.204380557,3.446848992,3.526596716,11.30611772,11.25161104,10.15992208,12.19313089,6.85661254,10.52106749,10.71100096,6.580679415,9.094778243,10.69855453,9.22267644,12.41885696,8.544559414,10.86105314,8.190707502,8.822989011
1,6.890066701,3.987940729,3.783311475,8.348679703,6.517485507,11.11463345,6.057808132,4.131775313,4.061767774,6.729549062,8.015414071,4.898042085,3.429088881,6.933504953,5.691597476,4.541747332,4.541747332,3.868979237,4.025359169,3.486149814,5.334912642,3.094775228,3.909821986,5.820894912,7.333628261,5.047299698,10.03598202,2.102450638,3.643294942,5.214192216,6.870332336,11.08873245,10.96721514,11.89053895,11.27181927,8.732793516,10.11404973,11.5302743,5.810554365,12.73720653,9.797060217,9.891199418,11.65636493,6.975671988,9.696346575,4.898042085,8.366388932
1,2.156523918,5.007772375,3.151241267,5.093858008,3.057753311,7.386270069,4.962687864,3.823963865,1.575079433,2.156523918,6.302660535,5.568909458,3.972231385,4.739874884,3.823963865,4.147459564,6.090191097,5.913197967,5.051467642,4.338915585,3.924617853,2.156523918,4.302698172,7.605669237,2.391985483,1.575079433,4.818118803,2.156523918,1.575079433,4.062679177,4.474992654,13.04821715,12.03757879,11.80024311,12.79506045,8.073348914,10.82895427,13.24577146,6.455819189,12.01193289,10.33010062,10.30122487,11.89768519,8.086428412,8.523411338,6.644665502,7.557631455
